ID,achievement_satisfaction,irritation,hurry_to_finalize,self_doubt,rumination,emotional_repression,pessimism,disappointment_fretting,work_detachment,indecisiveness,easily_wound_up,loneliness,weather_mood,achievement_dissatisfaction,impatience,smoking,lack_confidence,unclear_thinking,rushed_work,poor_sleep,alcohol,relaxation_difficulty,poor_concentration,lack_exercise,noise_sensitivity,headaches,clammy_hands,criticism_sensitivity,panic_attacks,distrust,stomach_issues,people_pleasing,distractibility,easily_frightened,time_pressure,StressLevel
31,B,B,C,D,D,B,C,A,B,C,C,C,C,D,B,B,B,B,C,B,D,B,B,B,B,B,B,B,B,B,C,C,A,C,C,Moderate
32,D,A,B,A,B,B,B,B,B,D,D,B,B,B,C,B,B,C,D,C,D,C,C,C,C,C,B,C,D,A,D,B,B,B,B,Moderate
33,B,B,B,C,A,A,C,B,B,B,C,C,C,D,C,D,B,C,B,C,C,C,C,A,C,C,C,B,B,B,B,C,B,B,A,Moderate
34,B,C,C,C,C,A,A,C,B,C,D,B,C,B,B,D,D,B,B,D,B,C,B,B,B,C,B,B,A,C,A,C,B,D,D,Moderate
35,B,B,B,A,C,B,B,D,B,C,D,C,C,B,B,A,C,B,D,B,C,C,D,B,B,C,B,A,C,B,A,B,C,A,C,Moderate
36,C,B,C,C,B,B,B,B,D,B,B,B,B,A,B,C,C,B,B,C,B,C,C,C,C,B,D,B,B,C,C,D,C,C,C,Moderate
37,C,C,D,B,A,D,C,A,D,B,A,C,C,D,D,B,B,C,C,C,A,C,A,C,C,B,C,C,C,C,C,D,C,C,A,Moderate
38,A,B,B,B,C,C,C,B,B,B,D,B,C,B,B,C,A,D,B,B,B,C,B,D,B,C,C,B,B,C,B,C,C,C,B,Moderate
39,B,C,C,D,B,B,D,B,C,D,B,B,B,D,A,D,D,C,C,C,B,A,B,B,C,A,B,C,B,D,D,C,B,C,A,Moderate
40,B,C,A,C,C,B,A,B,C,D,D,A,C,B,D,B,B,C,B,C,C,C,B,B,B,D,C,C,A,D,D,B,B,C,A,Moderate
41,B,C,B,B,C,B,B,B,B,D,B,C,B,B,B,C,A,C,C,A,B,D,A,B,B,B,B,D,B,B,C,B,B,C,C,Moderate
42,C,D,C,C,C,B,C,C,C,B,C,D,C,C,B,C,B,C,C,B,C,C,B,D,B,D,C,D,B,B,C,B,B,B,B,Moderate
43,A,C,B,C,C,A,B,B,A,C,B,A,C,B,B,C,B,B,B,B,C,D,C,B,A,C,D,C,A,C,B,C,C,C,B,Moderate
44,A,B,B,C,D,C,C,D,A,D,B,B,C,B,B,B,B,C,B,B,C,A,C,B,C,D,B,B,B,A,B,A,C,B,D,Moderate
45,C,C,C,C,C,D,A,B,B,B,B,C,C,C,C,B,B,B,B,C,B,A,C,D,B,B,B,A,C,A,D,D,C,C,B,Moderate
46,C,C,D,B,B,B,C,B,D,C,A,C,B,B,A,B,D,D,C,D,B,D,C,D,B,B,C,B,A,A,C,D,B,C,A,Moderate
47,B,C,B,B,D,A,C,C,B,C,B,C,C,D,C,B,C,C,B,B,B,B,B,D,C,C,B,C,C,C,B,C,C,B,C,Moderate
48,B,C,D,B,C,D,C,B,B,A,C,A,B,C,A,D,C,C,C,B,C,B,C,A,D,C,B,C,B,B,B,C,C,C,D,Moderate
49,C,B,C,B,B,B,B,D,B,B,B,B,D,A,C,C,B,C,B,D,D,B,B,C,A,D,B,C,C,C,C,C,C,D,B,Moderate
50,C,C,B,B,C,A,B,B,C,A,B,C,C,C,D,B,D,D,D,C,D,D,B,C,B,B,B,A,A,C,B,C,A,C,B,Moderate
51,B,A,D,C,A,B,B,C,B,D,C,B,B,D,C,C,B,D,D,B,A,B,B,C,B,B,C,C,C,B,B,C,B,B,C,Moderate
52,C,D,C,D,B,C,C,B,C,A,C,A,D,C,C,C,A,C,C,C,A,C,B,A,A,B,B,A,A,B,B,B,C,C,B,Moderate
53,B,B,B,B,D,B,D,B,D,D,B,B,A,C,C,B,C,B,C,C,B,C,A,C,B,B,B,B,B,B,C,D,C,B,B,Moderate
54,B,C,D,B,D,C,B,C,C,C,B,C,B,A,C,C,B,D,B,C,A,D,A,C,C,C,C,B,C,C,C,B,B,C,C,Moderate
55,C,C,C,C,B,C,C,C,A,C,B,B,C,D,B,B,B,C,B,C,B,C,B,C,C,C,C,A,B,C,D,B,A,B,C,Moderate
56,D,C,D,D,B,B,C,B,D,A,C,B,C,C,B,A,B,C,D,C,B,D,C,D,C,B,B,C,B,A,D,D,B,C,A,Moderate
57,C,C,C,C,C,C,B,C,B,A,D,D,D,C,A,B,C,B,C,B,B,C,A,B,C,B,B,C,B,D,C,C,B,B,B,Moderate
58,A,B,B,B,B,B,C,C,B,C,C,A,B,C,C,C,B,D,D,B,C,D,B,C,B,B,C,C,B,A,C,B,C,B,D,Moderate
59,B,B,D,B,C,C,C,B,C,C,B,C,C,C,D,B,B,B,C,B,C,C,C,C,B,C,C,C,C,D,A,D,D,A,B,Moderate
60,B,C,B,C,B,C,C,C,B,B,A,C,C,C,D,C,D,A,B,B,C,C,B,B,D,B,A,A,B,B,A,C,C,C,B,Moderate
61,B,B,B,C,D,A,A,C,C,D,B,C,C,B,D,C,C,B,C,C,C,A,B,D,D,D,C,B,B,B,C,C,B,C,B,Moderate
62,B,B,B,D,B,C,C,C,C,C,B,B,C,D,C,C,B,B,A,B,B,B,A,C,B,C,C,C,C,B,B,D,D,B,B,Moderate
63,B,C,A,C,B,C,C,D,C,C,C,B,C,B,A,A,D,C,A,A,B,C,B,D,C,C,B,B,D,C,C,A,B,C,A,Moderate
64,D,C,B,C,D,D,C,C,C,B,C,B,C,C,D,C,D,C,C,D,B,C,C,D,B,D,D,B,A,D,C,B,B,C,B,Moderate
65,D,C,B,D,B,B,A,C,C,B,B,C,B,C,B,C,C,C,C,B,B,B,B,D,C,C,C,C,D,C,C,C,B,A,C,Moderate
66,D,B,B,B,C,A,B,C,D,D,D,B,C,D,B,B,C,B,A,A,C,B,B,B,C,C,C,C,C,B,B,B,D,B,C,Moderate
67,B,C,C,B,B,C,C,C,C,B,A,C,C,D,D,B,B,A,B,B,C,B,C,A,B,B,B,B,B,D,B,C,A,C,C,Moderate
68,C,B,B,C,D,B,B,C,C,D,C,C,C,C,C,C,C,C,B,C,B,A,B,A,B,C,A,C,C,B,C,B,C,C,B,Moderate
69,C,B,B,D,B,C,B,C,B,C,B,C,C,C,C,D,A,B,D,B,B,B,A,D,B,C,B,B,B,A,C,B,B,C,B,Moderate
70,C,C,B,B,B,B,C,D,B,C,B,D,D,A,D,B,D,B,B,B,B,A,B,B,B,A,B,B,B,C,B,B,A,B,C,Moderate
71,C,C,A,B,D,A,C,C,B,A,C,C,C,C,A,B,C,D,C,C,D,C,C,C,B,C,C,C,B,B,A,B,A,A,B,Moderate
72,B,C,C,C,D,C,B,C,C,D,B,B,A,A,B,B,C,B,D,D,C,B,B,A,D,B,C,A,B,D,B,C,C,C,B,Moderate
73,B,A,C,C,C,A,C,C,C,D,C,C,D,B,C,C,B,B,B,C,B,B,B,C,B,D,C,C,C,C,B,C,C,B,B,Moderate
74,B,B,C,B,B,B,B,D,C,D,D,D,B,C,C,C,C,B,C,D,B,B,C,D,B,B,D,A,B,D,B,C,C,B,C,Moderate
75,D,C,C,C,D,A,B,C,D,C,B,D,B,C,C,B,A,B,D,C,B,C,B,A,C,C,D,A,C,B,B,D,C,C,D,Moderate
76,B,B,B,B,C,B,C,B,C,B,B,B,D,D,B,C,C,B,C,A,B,B,C,A,A,A,B,B,A,B,C,B,B,C,C,Moderate
77,A,B,B,B,B,C,B,B,B,A,B,B,C,C,C,A,D,B,B,B,C,B,C,C,D,C,D,C,B,B,A,C,B,B,A,Moderate
78,B,B,B,B,C,B,C,D,A,C,B,B,D,D,D,B,B,C,B,C,D,C,B,C,B,D,B,B,B,A,D,B,C,B,B,Moderate
79,B,B,C,D,B,C,C,D,C,C,C,B,D,B,B,B,A,B,A,A,A,C,C,C,A,B,D,C,B,C,C,B,B,B,C,Moderate
80,B,C,C,C,B,B,B,B,C,A,A,B,C,C,D,C,C,C,C,C,D,B,C,B,B,B,D,C,B,D,A,B,C,B,A,Moderate
81,B,B,C,D,B,C,B,C,B,B,D,C,B,B,B,B,B,C,D,B,C,B,B,B,B,D,B,C,B,B,C,B,B,C,B,Moderate
82,B,C,C,D,B,B,C,B,C,C,B,C,B,B,A,B,B,C,C,B,C,C,B,C,D,B,D,B,C,B,A,B,B,A,C,Moderate
83,B,B,B,B,D,C,B,B,B,B,B,B,D,B,B,B,B,D,D,C,A,B,A,D,A,B,D,D,C,B,B,D,A,C,C,Moderate
84,C,C,B,D,A,B,D,B,B,C,A,D,C,C,C,C,B,C,C,C,B,B,C,C,A,C,B,B,C,A,C,B,C,B,B,Moderate
85,C,D,C,D,C,C,B,C,C,C,A,B,D,B,C,B,C,B,C,A,C,B,D,C,C,C,D,B,D,B,C,B,C,C,D,Moderate
86,B,B,B,B,D,C,C,B,C,C,A,C,B,B,B,B,C,B,C,C,B,B,D,C,C,C,C,B,B,A,C,C,B,C,D,Moderate
87,A,D,B,B,B,C,D,B,C,B,C,B,B,C,B,C,B,C,A,B,B,D,B,B,B,B,C,C,B,B,C,C,C,C,A,Moderate
88,C,D,B,D,B,C,B,B,B,C,C,B,C,B,C,D,B,B,B,B,C,D,C,D,B,D,C,B,D,C,B,A,B,B,C,Moderate
89,C,B,C,C,B,B,D,C,D,D,C,C,C,B,C,C,D,C,C,B,D,B,A,D,B,D,A,C,B,C,C,C,C,C,B,Moderate
90,B,A,B,C,C,B,D,B,C,C,C,D,B,C,B,C,A,C,B,C,A,C,D,D,B,B,A,B,A,B,C,D,C,C,C,Moderate
91,C,B,B,A,C,C,D,B,D,C,B,B,B,D,B,B,B,B,D,B,C,A,C,B,B,C,C,C,D,B,B,B,A,C,B,Moderate
92,D,A,C,B,C,B,D,B,C,B,A,C,C,B,D,C,B,C,B,B,B,C,C,D,B,D,B,B,B,B,D,C,D,C,B,Moderate
93,D,B,B,B,B,C,C,C,D,C,C,C,C,B,B,C,C,C,A,C,B,C,C,C,D,A,B,C,C,B,D,B,B,D,D,Moderate
94,D,A,D,D,C,B,B,A,B,D,C,B,B,C,D,C,C,A,C,B,B,B,C,C,B,A,B,A,C,B,B,C,C,B,D,Moderate
95,D,C,A,C,B,C,C,B,C,A,A,B,C,C,C,B,A,B,A,B,D,B,B,C,D,A,D,A,C,D,C,B,C,C,A,Moderate
96,C,D,B,D,B,B,C,C,A,C,D,A,D,C,B,B,D,C,B,C,B,B,B,B,D,D,B,B,B,C,B,D,B,B,B,Moderate
97,A,C,A,B,C,B,B,B,B,A,D,B,B,C,C,A,B,B,C,B,A,C,B,B,C,D,B,B,B,C,B,D,A,A,C,Moderate
98,A,C,B,A,B,C,D,B,C,B,A,C,C,B,C,B,C,C,A,C,B,C,C,B,D,B,C,B,C,A,C,C,D,C,A,Moderate
99,C,B,C,D,C,B,C,C,B,C,B,A,C,C,C,B,B,D,B,D,C,C,A,B,D,C,D,C,B,B,B,C,A,D,B,Moderate
100,B,B,C,B,B,C,B,D,C,B,C,A,C,C,B,B,B,B,C,D,B,C,B,D,D,C,B,C,D,B,C,D,B,B,C,Moderate
101,B,C,B,C,B,B,A,D,B,B,C,B,A,B,C,B,D,B,C,B,C,B,B,C,C,B,C,C,B,B,C,C,D,B,C,Moderate
102,A,C,C,B,B,C,C,C,C,C,B,B,C,B,A,C,A,C,C,A,C,C,C,D,C,B,B,C,B,D,D,B,A,B,B,Moderate
103,B,B,C,C,B,B,C,B,C,B,B,C,C,C,B,D,B,C,A,B,C,B,B,B,B,D,B,B,B,D,D,D,D,B,B,Moderate
104,B,A,D,C,B,B,B,C,C,C,B,C,D,B,B,B,D,B,C,D,B,B,C,C,B,C,D,B,C,C,A,B,C,C,D,Moderate
105,B,D,C,A,C,C,D,C,B,C,B,B,C,B,B,B,C,B,B,C,C,D,B,B,B,A,B,D,C,D,A,B,C,B,C,Moderate
106,B,B,D,C,C,A,B,C,B,A,A,B,B,B,C,D,B,C,A,B,C,D,B,B,A,D,D,D,C,C,B,B,D,B,C,Moderate
107,C,B,C,C,B,C,B,C,A,B,C,B,B,B,B,C,C,B,B,B,C,D,B,C,C,A,C,D,B,B,C,D,C,B,B,Moderate
108,D,B,D,C,C,C,B,B,D,C,B,D,B,B,B,B,B,B,D,D,B,C,B,C,B,B,B,A,D,B,B,B,C,B,B,Moderate
109,B,D,B,C,D,B,B,A,B,C,C,D,D,B,B,C,B,D,A,C,C,D,D,D,C,C,C,B,D,C,D,C,C,B,A,Moderate
110,B,C,A,B,D,D,D,C,A,A,B,B,B,B,B,A,B,B,B,C,B,B,B,C,C,C,B,C,C,B,B,C,B,B,A,Moderate
111,D,B,D,B,B,D,B,C,B,A,D,B,D,B,C,B,D,C,A,B,C,D,C,C,C,B,B,B,B,C,B,D,C,A,B,Moderate
112,B,C,C,B,D,C,C,C,C,B,C,C,D,B,B,D,C,C,C,B,B,B,C,D,D,C,B,B,B,D,C,B,C,C,C,Moderate
113,D,D,D,B,C,B,B,A,D,B,B,B,A,B,B,C,D,D,A,A,C,D,B,A,A,C,D,C,D,B,C,C,A,C,C,Moderate
114,C,B,A,B,C,B,C,C,D,D,D,B,D,C,B,A,B,B,C,C,D,D,C,B,B,B,C,B,B,B,C,C,C,C,D,Moderate
115,D,C,C,C,C,B,B,B,B,B,B,B,B,C,A,A,B,B,C,B,B,D,D,C,A,B,A,C,C,B,C,C,C,B,A,Moderate
116,C,B,C,B,B,B,B,C,B,C,B,D,C,B,C,B,C,C,C,A,C,C,B,C,C,A,C,A,A,C,C,D,B,C,B,Moderate
117,C,D,C,B,C,B,A,B,B,C,D,C,B,D,B,C,B,B,A,D,A,C,D,D,C,C,B,C,B,B,C,B,B,D,B,Moderate
118,B,D,B,C,D,B,C,C,C,D,A,C,D,C,B,B,A,A,C,B,C,D,A,D,A,D,C,B,C,B,B,B,C,C,C,Moderate
119,C,B,D,D,B,C,A,A,B,B,B,B,A,C,C,A,C,C,B,D,C,B,D,B,C,B,A,C,C,B,C,B,B,B,C,Moderate
120,B,A,C,B,B,B,A,C,A,D,B,B,C,A,D,D,C,D,B,C,C,C,A,B,C,B,C,D,B,B,D,D,B,A,C,Moderate
121,C,B,A,C,B,C,A,C,B,D,C,C,B,C,A,B,D,B,D,C,B,C,B,A,A,C,B,C,B,C,C,B,B,C,C,Moderate
122,B,B,A,C,B,D,C,D,A,B,B,C,D,B,A,B,D,D,B,B,C,B,C,B,B,B,D,C,D,B,B,C,C,B,B,Moderate
123,D,B,A,B,C,B,B,B,B,B,A,B,B,A,A,B,C,A,A,B,C,C,B,B,C,A,B,D,C,C,A,B,D,B,C,Moderate
124,B,B,B,B,B,B,D,B,C,A,B,B,B,A,D,B,D,B,B,C,C,A,C,D,B,B,C,C,B,D,A,C,C,B,C,Moderate
125,A,B,C,D,C,A,C,B,C,B,A,B,D,B,D,B,C,B,C,B,C,C,D,B,C,A,A,B,B,B,B,B,C,C,C,Moderate
126,C,C,B,C,B,C,D,B,A,D,C,B,C,B,C,B,D,B,B,C,C,B,C,B,C,A,C,A,B,C,C,C,D,A,C,Moderate
127,C,B,B,C,C,A,D,B,D,C,C,A,C,D,C,C,C,C,C,B,A,B,D,B,C,B,B,C,A,B,C,C,B,C,B,Moderate
128,B,C,B,C,C,C,B,C,A,B,B,D,B,B,B,C,D,B,C,B,B,C,C,C,A,B,B,C,B,D,B,A,B,B,B,Moderate
129,B,B,B,B,B,C,C,C,A,B,D,C,B,D,B,C,B,C,D,B,C,C,C,B,B,B,B,B,C,C,C,C,D,C,B,Moderate
130,C,C,A,B,B,B,C,C,C,D,B,C,A,A,B,A,A,B,B,B,D,B,C,B,B,B,D,C,B,B,A,A,B,B,B,Moderate
131,C,B,B,A,B,C,B,C,C,C,B,B,C,A,B,B,B,C,B,D,B,D,B,D,B,B,B,C,A,B,C,C,B,D,C,Moderate
132,B,A,D,B,C,C,C,D,C,B,D,B,C,B,B,A,C,C,C,A,B,B,B,D,D,B,B,B,C,C,C,D,B,A,B,Moderate
133,A,C,D,D,B,B,A,D,B,B,D,C,B,B,B,A,C,C,B,C,C,B,B,C,D,B,C,A,A,C,B,B,B,B,A,Moderate
134,C,C,C,C,C,C,D,B,C,B,A,C,B,B,B,B,D,D,B,C,B,B,B,D,C,B,B,C,A,A,C,C,A,A,C,Moderate
135,B,B,B,A,B,C,D,B,D,B,C,B,C,C,A,D,C,D,C,D,C,B,B,C,B,C,D,B,C,A,C,C,D,C,C,Moderate
136,C,A,B,C,B,B,C,D,C,B,A,C,C,D,B,C,C,B,B,C,C,B,B,C,C,C,D,C,C,D,C,B,D,D,C,Moderate
137,B,C,B,C,B,C,B,C,C,A,D,B,C,A,B,B,B,C,A,B,C,C,A,D,B,C,C,B,C,D,D,C,C,A,D,Moderate
138,C,C,D,C,A,C,B,D,B,B,C,C,A,B,C,B,C,C,C,B,C,B,C,A,B,C,B,B,D,C,D,C,B,C,C,Moderate
139,D,B,B,B,C,B,A,D,A,D,D,C,C,B,C,C,C,C,C,B,C,B,B,B,B,B,C,B,D,C,C,B,C,D,A,Moderate
140,C,D,C,B,C,B,C,B,C,B,B,B,D,C,C,C,B,D,B,C,C,D,D,A,B,B,C,B,C,B,C,A,A,A,D,Moderate
141,D,B,C,B,C,B,B,D,B,D,C,C,D,C,B,D,D,B,D,D,B,C,C,B,B,B,C,B,B,C,C,D,C,B,B,Moderate
142,B,B,C,C,B,B,C,C,B,C,C,B,C,B,B,C,C,B,A,B,B,B,D,C,B,A,C,D,C,C,B,D,B,D,B,Moderate
143,B,B,B,D,C,C,A,B,C,B,B,C,C,D,C,C,A,B,B,D,D,C,B,B,A,C,B,C,B,B,C,C,B,C,B,Moderate
144,B,D,B,B,C,D,D,B,C,C,C,D,B,B,B,C,B,D,C,B,A,C,B,B,C,A,D,C,B,D,B,A,C,D,C,Moderate
145,B,B,B,C,D,B,D,B,B,C,C,B,B,C,B,B,C,B,D,B,A,C,C,B,B,B,C,D,C,A,A,C,B,B,B,Moderate
146,B,C,D,D,C,C,C,B,B,B,C,D,A,C,B,C,B,D,C,C,D,C,A,C,B,B,B,B,D,B,A,C,B,B,B,Moderate
147,B,C,C,C,D,C,B,C,B,B,B,C,B,D,B,C,B,D,D,B,B,C,B,D,B,C,D,B,C,C,C,C,B,B,C,Moderate
148,A,A,A,C,B,C,A,A,B,C,C,D,C,B,B,B,C,B,C,D,C,C,C,D,C,D,A,C,C,A,C,C,B,D,C,Moderate
149,C,B,D,C,B,B,B,B,B,C,B,A,C,B,C,B,D,D,C,C,B,C,B,B,C,D,C,B,C,B,B,B,B,B,A,Moderate
150,B,B,B,C,D,B,B,A,A,B,B,D,D,A,C,D,C,C,B,A,A,B,C,B,B,D,B,C,B,A,C,A,A,B,C,Moderate
151,D,C,D,C,C,D,C,C,B,B,B,C,C,C,B,B,C,A,A,D,B,B,C,A,C,B,B,C,B,B,C,B,B,B,B,Moderate
152,C,A,C,A,C,C,D,C,B,B,B,C,C,B,A,C,C,C,B,C,B,D,B,B,A,B,C,C,D,C,B,C,B,B,C,Moderate
153,D,D,C,A,D,B,A,B,B,B,B,B,B,B,B,B,B,D,D,B,C,C,C,B,A,C,C,D,C,B,B,A,D,B,C,Moderate
154,C,B,C,B,C,B,D,B,C,C,A,B,B,C,A,C,A,B,C,B,D,C,B,B,D,B,B,D,B,B,B,B,B,B,B,Moderate
155,A,B,B,C,C,B,B,A,A,B,B,B,C,B,A,C,C,B,A,C,B,B,B,D,C,B,C,B,C,C,B,B,B,D,B,Moderate
156,C,A,D,B,B,C,D,C,B,C,C,B,C,B,B,C,B,A,B,D,B,C,B,B,B,D,B,D,B,C,C,B,C,B,B,Moderate
157,B,C,B,C,C,D,C,C,C,C,B,B,D,D,B,C,B,A,C,B,B,C,B,C,B,D,B,C,B,C,C,B,C,A,B,Moderate
158,D,C,D,B,D,C,A,C,C,D,A,C,C,D,B,C,B,B,C,C,C,C,C,C,A,D,C,A,C,C,C,C,C,D,A,Moderate
159,B,A,C,B,B,B,B,C,D,B,C,C,C,C,C,D,B,D,B,D,C,B,D,C,C,B,B,B,A,B,C,B,A,B,D,Moderate
160,A,C,C,A,B,B,D,B,B,B,A,B,D,B,C,C,A,C,C,D,D,C,B,C,B,C,C,B,B,C,A,D,A,D,C,Moderate
161,B,B,D,B,B,C,C,C,D,C,B,C,B,B,B,A,C,B,C,C,B,D,B,C,C,B,B,C,D,A,D,C,B,C,B,Moderate
162,C,B,B,C,C,D,B,D,A,C,D,C,A,C,B,B,B,D,C,B,C,B,B,C,A,C,C,C,B,A,C,B,B,C,C,Moderate
163,C,B,C,B,C,B,B,B,C,C,B,C,B,D,B,B,D,C,A,B,B,B,C,C,B,B,C,B,D,B,B,A,D,B,C,Moderate
164,C,D,B,B,C,D,C,D,B,B,A,C,C,C,C,A,C,A,C,B,A,D,D,D,C,C,C,D,A,D,C,B,B,B,C,Moderate
165,D,B,A,B,B,B,B,C,C,B,B,C,B,B,C,B,B,B,B,D,D,D,B,C,B,B,A,C,B,A,B,B,B,B,C,Moderate
166,C,C,D,D,C,B,C,B,C,C,C,C,B,B,B,C,B,A,C,B,C,B,D,B,C,D,B,C,B,D,B,D,D,B,D,Moderate
167,B,B,B,D,B,C,B,B,B,B,C,C,A,B,B,B,D,C,D,B,C,B,B,D,B,B,D,B,C,C,B,D,C,C,B,Moderate
168,B,B,D,D,D,B,D,C,D,C,A,B,D,C,C,B,B,C,B,C,B,B,C,A,B,B,B,C,B,B,C,A,D,B,C,Moderate
169,B,B,D,B,B,D,A,D,B,B,C,C,A,D,C,C,D,A,C,A,B,D,A,C,B,C,B,D,B,A,C,C,B,B,D,Moderate
170,B,B,C,C,C,B,B,D,B,D,C,B,A,B,B,C,C,A,C,C,B,D,B,B,C,B,B,C,B,B,B,A,D,C,B,Moderate
171,B,C,C,B,D,B,C,B,C,D,C,A,B,A,D,C,D,B,B,B,C,B,B,C,A,D,C,D,C,C,D,B,C,D,C,Moderate
172,B,C,C,B,C,C,C,B,B,A,C,A,B,B,B,D,B,B,B,B,C,B,A,B,B,C,B,B,B,B,D,B,C,B,B,Moderate
173,D,B,A,A,C,A,B,B,B,D,B,D,C,C,C,C,B,A,C,B,B,B,C,B,B,B,C,B,C,D,C,C,D,C,D,Moderate
174,B,B,D,B,C,A,C,B,A,D,B,B,B,B,C,C,A,B,C,C,B,C,C,B,C,D,B,C,C,B,B,B,D,B,D,Moderate
175,B,C,D,B,D,A,C,B,C,B,B,C,B,A,A,A,C,C,B,A,B,A,B,C,C,B,A,C,B,B,C,B,C,A,A,Moderate
