ID,achievement_satisfaction,irritation,hurry_to_finalize,self_doubt,rumination,emotional_repression,pessimism,disappointment_fretting,work_detachment,indecisiveness,easily_wound_up,loneliness,weather_mood,achievement_dissatisfaction,impatience,smoking,lack_confidence,unclear_thinking,rushed_work,poor_sleep,alcohol,relaxation_difficulty,poor_concentration,lack_exercise,noise_sensitivity,headaches,clammy_hands,criticism_sensitivity,panic_attacks,distrust,stomach_issues,people_pleasing,distractibility,easily_frightened,time_pressure,StressLevel
16,C,C,C,C,D,C,B,D,B,B,D,C,C,C,A,A,B,A,D,D,C,A,B,B,B,D,B,C,D,D,D,C,B,C,C,Moderate
17,C,B,B,B,D,B,C,B,B,B,B,D,B,B,B,D,B,C,C,B,B,A,C,C,C,C,B,B,A,C,C,B,C,C,A,Moderate
18,D,B,B,B,B,B,C,C,D,C,C,C,B,A,C,D,C,D,C,C,D,B,B,C,B,B,B,C,D,B,C,C,B,A,C,Moderate
19,B,B,C,B,B,C,C,A,B,C,C,A,B,C,C,B,D,B,B,D,D,A,B,C,B,C,B,C,B,C,B,C,D,C,B,Moderate
20,C,D,D,B,D,D,C,B,C,B,C,B,C,C,C,A,C,A,B,B,A,B,B,B,D,A,B,A,D,C,B,B,C,B,C,Moderate
21,C,A,A,B,A,B,C,B,D,C,B,C,B,A,C,C,B,A,D,B,C,C,A,B,C,A,B,A,B,C,B,C,B,C,C,Moderate
22,B,C,C,B,C,B,C,C,C,D,B,C,B,C,B,C,A,B,B,B,B,B,B,B,B,A,C,B,C,D,D,B,C,D,C,Moderate
23,B,C,D,C,C,B,C,A,C,D,C,B,A,C,A,B,D,C,C,B,B,C,C,C,B,B,A,A,C,D,B,C,B,B,C,Moderate
24,C,C,B,A,C,C,B,C,C,A,B,C,B,C,D,C,B,D,A,B,C,B,B,B,B,C,C,C,D,B,C,B,C,C,C,Moderate
25,C,B,A,B,B,D,D,B,D,C,C,C,D,C,D,C,C,D,B,D,B,B,B,C,D,B,C,C,D,C,B,C,C,C,B,Moderate
26,C,B,B,C,A,B,C,B,C,D,C,B,C,C,C,B,B,C,A,C,B,C,B,B,A,C,B,B,B,A,C,C,B,D,C,Moderate
27,B,C,A,B,C,B,B,C,B,B,A,A,B,C,B,C,B,D,B,B,B,C,C,B,C,C,C,D,C,C,B,B,B,B,C,Moderate
28,C,B,C,C,B,B,C,B,C,C,B,B,B,B,C,B,B,B,A,B,B,B,B,D,D,C,C,C,C,C,C,C,B,D,A,Moderate
29,C,C,C,D,B,D,D,D,A,D,A,C,C,C,B,B,C,B,B,B,C,B,B,D,A,C,C,B,B,A,D,A,C,D,B,Moderate
30,C,B,C,D,D,B,C,D,D,C,C,A,C,D,C,B,C,B,C,C,B,B,A,C,D,C,B,D,C,C,B,B,D,B,C,Moderate
31,B,B,C,B,D,A,B,C,D,A,B,C,B,D,D,B,C,B,A,A,B,B,A,B,B,C,C,B,A,B,C,C,C,D,C,Moderate
32,B,C,C,B,B,C,B,B,C,B,D,B,B,B,A,B,C,A,B,C,B,B,A,C,B,C,B,B,C,B,C,B,B,B,A,Moderate
33,A,B,C,C,C,B,C,C,D,C,D,C,C,C,C,A,C,B,C,C,C,A,C,C,A,C,C,D,B,C,C,A,B,D,D,Moderate
34,A,D,B,B,D,B,D,A,C,C,B,B,C,B,B,C,A,B,D,B,A,B,B,C,D,C,D,B,C,B,B,B,C,C,B,Moderate
35,C,A,C,C,B,B,B,D,C,D,D,A,D,D,C,C,D,D,D,B,B,B,C,B,B,B,C,B,C,B,D,C,C,D,A,Moderate
36,C,B,C,B,B,C,B,C,C,B,B,B,B,B,A,C,B,B,C,D,C,B,C,C,C,C,B,D,B,C,A,B,C,B,B,Moderate
37,C,B,D,D,D,C,A,D,C,C,C,C,C,A,C,C,B,C,B,B,C,B,C,D,C,C,C,D,B,D,D,C,D,A,B,Moderate
38,B,B,C,C,B,C,B,C,B,B,B,B,C,B,C,C,D,B,C,B,C,D,C,A,C,C,B,C,C,B,A,C,C,A,A,Moderate
39,B,C,D,A,B,C,B,D,C,D,B,B,B,A,B,B,B,C,C,D,C,C,B,A,D,A,C,C,C,B,B,B,A,B,B,Moderate
40,B,A,A,B,C,C,C,D,B,C,C,D,A,A,B,C,C,C,C,B,C,C,D,B,A,C,D,B,B,D,C,B,B,A,C,Moderate
41,B,B,D,B,B,C,A,A,D,D,C,B,D,C,B,B,D,C,B,C,C,A,B,C,C,D,B,B,C,B,B,C,A,B,C,Moderate
42,C,A,B,C,C,D,D,A,B,B,C,B,C,B,B,B,B,D,D,A,D,C,C,C,C,C,B,C,B,D,B,B,C,C,C,Moderate
43,B,B,C,B,B,B,C,C,B,D,B,B,B,B,C,B,C,B,B,C,A,A,C,B,C,B,D,C,C,A,D,D,D,B,B,Moderate
44,C,D,B,C,B,C,B,C,C,B,C,A,A,B,B,C,D,C,B,D,C,C,B,B,B,B,B,B,D,C,A,A,B,C,B,Moderate
45,B,B,B,C,C,C,C,B,A,D,B,B,B,C,A,B,A,C,C,B,B,B,C,A,C,C,C,C,B,C,B,B,C,B,C,Moderate
46,B,C,B,B,A,C,C,C,D,D,B,C,A,B,C,B,C,D,C,B,C,B,A,D,D,C,B,C,C,C,B,D,C,C,C,Moderate
47,A,B,B,B,B,B,C,A,A,C,B,B,B,C,D,B,D,B,B,D,B,B,D,C,D,B,B,D,A,B,B,D,B,B,B,Moderate
48,C,C,C,A,D,B,B,C,D,A,B,A,D,B,B,B,B,B,A,B,B,C,D,B,D,B,D,B,B,B,C,C,D,C,A,Moderate
49,B,C,A,C,B,B,D,B,B,B,C,C,D,B,D,B,B,C,B,C,B,B,A,A,B,D,D,D,C,B,D,C,C,C,B,Moderate
50,C,B,B,C,B,C,D,B,B,C,C,C,D,A,D,B,C,C,C,D,B,C,B,C,D,B,C,C,B,C,B,D,B,B,B,Moderate
51,B,B,B,D,A,A,C,B,C,B,B,C,B,D,C,B,A,C,B,A,D,C,C,D,C,C,C,A,A,C,B,B,B,B,B,Moderate
52,B,D,C,B,C,B,B,C,C,D,C,C,C,D,C,A,B,A,B,B,B,A,D,B,D,B,C,C,A,D,C,B,C,D,B,Moderate
53,B,D,C,B,C,B,C,C,A,D,D,C,B,B,D,B,B,C,B,B,C,B,C,C,C,D,B,C,C,D,B,D,A,B,B,Moderate
54,C,B,B,C,C,B,C,B,D,D,A,C,C,A,C,B,D,C,C,B,D,B,A,C,C,C,B,C,D,B,B,A,C,C,C,Moderate
55,A,B,C,B,C,B,C,D,B,C,B,B,C,C,C,B,B,C,D,B,C,A,A,B,C,C,C,B,B,C,C,C,B,B,B,Moderate
56,B,A,A,D,B,C,B,B,B,B,C,C,C,C,B,C,A,C,D,A,C,D,C,D,B,A,D,A,B,D,C,B,B,B,B,Moderate
57,D,B,C,B,B,B,B,C,B,C,B,C,D,B,A,D,B,D,C,D,B,C,B,B,C,B,B,B,D,C,B,B,C,C,B,Moderate
58,B,B,C,C,B,B,C,C,B,C,C,B,A,D,B,C,B,D,D,C,A,C,C,A,C,C,C,C,B,B,B,A,C,D,C,Moderate
59,C,D,B,B,B,C,C,B,C,B,A,B,B,A,C,A,C,B,C,C,C,D,A,B,D,B,C,B,B,A,C,D,D,B,D,Moderate
60,C,C,C,B,D,C,C,B,C,A,D,C,C,B,C,B,C,D,B,C,B,A,C,D,A,D,C,B,A,C,C,C,D,C,B,Moderate
61,B,B,B,C,B,D,C,A,A,B,D,B,C,C,A,D,C,B,D,B,B,C,B,B,D,B,B,D,C,C,A,D,C,C,A,Moderate
62,C,A,A,C,B,B,D,D,D,C,B,B,C,B,C,B,B,B,D,C,D,C,D,A,D,C,B,B,A,B,B,C,B,B,C,Moderate
63,D,C,D,A,C,B,C,B,B,C,B,A,D,B,B,C,C,C,B,D,C,B,B,B,B,C,C,B,D,C,B,B,C,C,B,Moderate
64,B,B,A,B,C,C,A,B,C,C,D,D,C,C,D,A,B,B,B,B,C,C,B,D,A,B,C,B,C,B,B,A,D,D,D,Moderate
65,B,B,D,C,C,B,A,B,B,D,D,A,C,B,C,C,C,B,B,B,C,D,D,B,B,C,B,A,B,D,B,C,A,A,B,Moderate
66,C,D,B,C,B,B,D,B,B,C,D,B,C,B,B,B,A,B,A,A,C,A,A,D,C,B,C,B,D,B,D,B,B,D,C,Moderate
67,C,B,C,C,B,C,A,C,C,A,C,B,C,A,D,D,C,A,C,A,B,C,C,B,B,B,B,C,A,D,D,A,C,C,A,Moderate
68,C,C,C,D,C,A,B,C,C,D,B,B,C,C,A,C,C,B,C,C,A,C,B,C,B,C,D,B,C,C,B,C,B,B,A,Moderate
69,B,A,B,C,B,C,D,D,C,B,D,B,B,C,D,B,C,C,B,B,D,D,B,C,B,B,C,A,B,B,A,D,B,B,B,Moderate
70,C,D,C,B,B,C,C,C,B,B,B,C,D,C,C,B,C,A,A,B,C,C,C,A,C,C,B,B,D,B,C,D,B,B,A,Moderate
71,D,D,B,C,B,C,B,D,A,B,C,C,B,C,C,D,B,B,B,B,C,B,B,A,A,A,B,A,B,D,D,D,B,A,A,Moderate
72,B,B,C,A,D,C,C,D,D,B,C,B,B,B,C,C,D,C,C,B,B,D,C,B,D,D,B,A,C,A,B,B,B,B,B,Moderate
73,C,D,A,C,B,B,D,B,B,B,D,A,D,C,B,B,C,B,C,C,D,C,B,B,A,D,C,B,B,D,C,C,B,B,C,Moderate
74,B,C,B,B,B,B,C,C,B,B,B,B,A,B,A,C,C,B,A,B,B,D,B,B,B,C,C,C,D,C,B,B,A,B,C,Moderate
75,D,D,B,C,B,D,C,B,C,C,C,B,A,B,C,D,B,A,C,D,C,C,D,B,B,B,B,A,C,C,A,B,B,C,B,Moderate
76,C,B,C,D,B,B,C,A,D,B,B,B,B,B,B,D,D,C,B,C,A,A,A,D,D,B,D,B,B,C,B,D,B,B,B,Moderate
77,B,C,C,A,B,B,B,C,C,D,A,C,C,B,D,C,C,B,B,B,C,A,D,D,D,B,B,C,B,B,B,C,C,D,C,Moderate
78,C,B,B,A,C,C,D,B,B,B,C,D,A,C,D,C,B,B,B,D,A,A,C,D,C,D,D,A,C,B,B,B,D,D,B,Moderate
79,C,B,B,C,D,B,B,B,D,D,C,D,B,D,C,B,B,B,C,C,B,B,C,B,D,B,B,C,C,C,B,B,C,B,B,Moderate
80,C,B,B,D,A,B,B,D,C,A,B,D,B,A,D,C,C,D,D,C,B,C,D,B,B,B,D,C,B,B,C,C,B,B,B,Moderate
81,B,C,D,C,C,B,A,B,C,B,B,C,B,B,B,B,B,B,C,A,B,B,C,B,B,C,A,C,C,C,A,B,D,C,C,Moderate
82,A,A,D,C,D,C,D,B,C,D,B,B,D,C,B,C,C,C,C,C,B,C,B,D,D,C,B,C,B,D,C,B,B,B,D,Moderate
83,B,B,C,C,C,B,C,B,B,C,B,C,B,D,A,A,B,B,B,C,C,B,D,B,C,B,C,B,B,D,B,C,B,C,B,Moderate
84,D,C,C,A,B,C,B,D,C,B,C,B,C,C,C,C,C,B,C,C,A,B,D,B,C,C,B,C,B,B,B,B,B,B,B,Moderate
85,B,B,C,B,C,B,B,A,B,C,D,C,A,A,C,C,B,B,A,D,B,C,C,A,C,A,C,C,B,C,C,B,B,D,B,Moderate
86,C,A,B,C,B,D,C,C,B,C,C,B,B,B,C,A,C,D,B,B,C,C,B,C,D,B,B,D,A,B,A,B,A,B,A,Moderate
87,B,C,B,A,C,B,B,B,C,B,C,C,D,C,B,D,B,C,D,C,D,B,B,A,B,C,D,C,C,A,C,C,C,B,D,Moderate
88,B,A,B,B,D,A,B,B,B,B,C,C,B,C,C,B,B,C,B,A,B,C,C,B,B,B,C,B,A,B,B,D,B,C,D,Moderate
89,C,B,C,D,A,B,C,A,B,A,B,B,D,D,B,B,B,C,D,C,C,D,C,B,C,C,D,B,D,D,B,C,D,A,B,Moderate
90,C,A,C,D,C,B,B,B,C,B,A,C,B,B,B,C,B,C,B,C,B,B,D,B,C,B,B,B,D,D,B,B,B,C,C,Moderate
91,B,D,C,D,C,A,B,C,A,D,C,B,B,B,A,B,C,D,C,B,B,B,C,C,B,C,D,B,C,B,C,D,B,B,C,Moderate
92,D,B,C,D,B,C,B,C,C,B,C,B,C,B,B,D,C,A,B,C,C,D,B,B,D,A,B,C,C,B,B,D,B,C,C,Moderate
93,C,D,C,C,C,C,C,C,C,B,B,D,B,B,D,A,B,C,C,B,C,B,B,B,C,C,C,B,B,C,B,C,C,B,B,Moderate
94,C,A,C,B,C,B,D,C,C,B,B,C,C,D,B,C,D,B,D,B,C,B,A,C,A,B,D,C,A,D,B,B,A,C,B,Moderate
95,C,C,A,D,B,B,D,B,B,C,B,C,C,B,B,A,C,B,B,A,C,C,D,B,A,B,B,B,C,D,B,B,B,B,C,Moderate
96,D,B,C,B,B,C,B,B,C,B,D,A,C,C,B,D,C,C,C,A,C,D,B,D,B,B,C,C,B,D,D,C,A,B,B,Moderate
97,C,B,A,C,A,C,C,B,C,A,D,C,C,C,C,D,B,A,C,C,D,C,C,A,B,C,D,B,C,B,D,D,C,C,C,Moderate
98,A,C,C,C,B,C,B,B,C,C,B,C,A,C,D,B,B,B,D,C,C,B,C,B,B,C,C,C,B,B,C,C,C,C,C,Moderate
99,A,C,C,A,B,C,D,B,A,C,B,C,A,B,B,B,C,B,C,B,B,B,C,B,B,D,B,C,C,B,C,B,B,B,B,Moderate
100,C,D,C,C,A,C,C,B,C,D,C,B,A,D,B,C,B,D,B,C,B,B,C,C,B,C,C,C,B,B,A,C,B,B,C,Moderate
101,C,B,B,A,B,B,B,B,B,B,B,C,A,D,B,C,A,C,B,C,C,D,D,C,C,A,D,A,D,B,B,B,B,B,A,Moderate
102,C,B,D,C,B,C,B,C,B,C,B,B,D,D,B,B,C,D,B,B,A,C,B,B,B,A,B,C,B,C,D,B,C,D,A,Moderate
103,D,B,C,B,C,D,D,D,D,C,B,B,D,D,B,C,C,B,D,C,C,D,A,B,D,B,D,C,B,D,B,C,C,B,A,Moderate
104,C,B,C,D,B,B,C,B,D,B,C,C,B,B,A,C,B,B,B,B,B,C,B,D,C,D,B,B,D,B,C,D,C,D,C,Moderate
105,C,B,C,A,C,C,B,B,C,A,B,A,B,D,B,B,B,A,C,B,C,B,A,B,B,B,A,C,D,C,B,D,B,B,C,Moderate
106,C,A,C,A,B,C,B,C,B,C,B,D,C,B,B,C,B,B,A,B,C,A,D,B,C,B,D,B,B,D,B,C,B,D,B,Moderate
107,B,A,D,C,C,B,C,C,B,B,D,C,B,C,B,C,D,B,B,C,B,B,B,C,C,D,D,C,C,A,D,B,D,A,A,Moderate
108,C,C,B,B,B,B,B,C,B,A,C,C,B,C,D,B,C,C,C,C,B,D,A,C,C,A,B,C,B,B,C,B,B,D,B,Moderate
109,A,D,C,D,B,B,B,C,C,C,B,C,D,B,C,B,C,B,C,B,B,A,C,C,D,A,B,A,B,C,C,B,B,B,B,Moderate
110,B,C,B,C,B,B,D,C,B,C,A,B,C,C,B,B,B,C,B,B,C,B,B,B,A,A,A,B,D,D,B,C,C,C,D,Moderate
111,A,D,C,B,B,B,B,C,D,B,C,D,D,D,C,C,D,D,C,C,D,C,B,B,B,C,D,A,B,A,C,B,A,B,C,Moderate
112,B,B,D,B,D,C,D,B,B,C,B,B,B,D,C,C,B,C,C,A,C,C,D,B,C,B,C,D,B,C,B,D,C,B,C,Moderate
113,A,C,C,B,B,B,A,B,A,D,C,C,B,B,A,B,A,B,C,B,A,D,C,C,C,B,B,B,B,B,C,C,C,D,B,Moderate
114,C,B,D,C,C,B,C,B,D,C,B,C,C,B,C,D,B,B,B,B,B,D,C,D,C,D,B,B,C,C,B,D,B,C,C,Moderate
115,C,A,B,B,A,D,B,B,B,B,B,D,A,C,C,B,B,C,B,B,B,C,C,C,B,D,A,B,B,A,D,B,B,D,B,Moderate
116,C,B,C,C,D,C,B,B,C,C,B,B,A,C,D,C,C,B,B,C,B,B,B,C,D,C,C,B,C,C,D,B,B,B,D,Moderate
117,B,B,B,A,B,C,C,A,C,A,B,B,C,D,B,B,B,B,B,D,B,A,A,D,D,B,B,B,C,C,D,A,C,C,B,Moderate
118,C,C,C,C,D,C,B,A,B,D,C,C,D,A,C,D,A,B,C,D,D,B,B,B,B,B,D,C,D,C,A,C,C,A,B,Moderate
119,B,D,A,D,C,C,B,C,B,C,A,C,C,C,B,C,A,B,C,B,D,D,B,C,B,B,B,B,B,B,C,B,B,C,C,Moderate
120,B,A,A,C,B,A,A,C,D,A,B,D,C,B,B,C,C,B,D,D,D,B,B,B,C,A,D,B,C,D,D,B,C,C,C,Moderate
121,C,C,B,A,D,C,B,B,D,C,B,C,C,B,B,D,A,C,B,B,C,B,B,B,B,C,B,B,C,B,C,B,B,B,C,Moderate
122,C,C,B,B,C,B,D,B,C,C,B,A,B,C,D,C,A,D,C,B,B,B,B,B,B,C,C,A,C,B,C,B,C,C,B,Moderate
123,B,A,B,C,D,C,C,A,B,C,B,B,B,C,D,B,A,C,B,C,C,C,C,B,B,C,B,C,C,B,B,D,C,B,A,Moderate
124,A,C,C,C,D,B,C,B,B,B,B,B,D,D,C,A,C,A,D,B,C,B,B,C,C,D,D,C,D,C,C,C,C,A,C,Moderate
125,D,B,B,A,C,C,C,B,C,B,C,D,C,A,C,A,C,B,C,C,B,D,B,C,C,C,A,B,C,A,D,B,B,C,B,Moderate
126,C,C,D,C,C,A,C,B,A,C,D,D,D,B,C,B,B,B,B,B,C,C,B,B,C,B,C,C,B,B,D,B,D,B,C,Moderate
127,D,C,D,C,D,D,B,B,C,D,B,C,C,C,B,B,D,C,D,C,B,B,C,A,B,C,C,B,C,A,B,B,B,B,B,Moderate
128,C,C,C,C,C,B,C,C,B,C,B,C,A,B,B,B,B,B,C,B,D,A,C,B,B,B,B,C,B,D,C,C,C,B,B,Moderate
129,C,C,B,D,B,B,C,D,B,B,B,B,B,C,C,D,B,D,B,C,B,C,A,A,C,C,B,A,C,D,C,B,C,B,D,Moderate
130,B,B,B,B,C,C,B,A,B,D,B,B,C,C,B,B,B,B,C,B,C,B,B,A,C,B,B,D,B,D,A,C,C,B,C,Moderate
131,B,C,B,B,B,A,B,B,B,D,C,B,D,B,B,B,C,C,B,C,B,B,B,B,B,C,D,D,D,B,C,B,D,C,C,Moderate
132,C,C,B,C,C,C,B,B,B,B,B,D,B,B,B,C,C,B,B,B,D,C,B,B,C,A,B,C,C,C,D,A,C,B,B,Moderate
133,B,D,B,C,B,B,C,C,B,B,B,C,B,B,B,C,B,B,B,B,D,D,B,D,D,C,B,B,B,D,B,A,B,C,C,Moderate
134,C,C,A,B,B,C,B,C,B,A,B,C,C,C,C,A,B,D,C,A,B,B,C,B,B,B,D,D,B,A,B,B,B,B,B,Moderate
135,B,C,C,C,C,C,D,C,D,B,C,B,A,B,B,C,A,B,C,A,B,D,A,C,C,B,C,B,D,B,A,B,C,B,B,Moderate
136,C,B,B,C,C,D,B,B,B,B,C,D,D,A,D,C,B,C,A,C,C,B,B,D,B,C,B,C,D,C,D,D,B,B,A,Moderate
137,B,B,B,C,D,C,D,C,C,C,B,C,C,B,D,C,C,C,B,B,C,B,B,D,D,A,B,A,C,B,B,C,B,B,D,Moderate
138,A,B,D,B,D,D,B,C,B,A,D,A,B,B,C,C,C,C,C,B,C,C,B,A,D,C,B,B,C,C,D,D,B,D,B,Moderate
139,C,A,C,C,B,A,D,C,C,B,A,C,C,B,B,C,B,C,B,A,B,C,A,D,B,B,C,D,C,A,B,B,A,D,B,Moderate
140,B,C,A,B,B,C,B,D,B,B,B,C,B,C,B,B,D,B,B,B,B,A,D,A,B,C,B,C,C,B,C,C,D,D,B,Moderate
141,B,B,C,B,C,D,D,B,C,B,B,D,C,B,C,C,B,C,C,D,A,B,C,B,C,A,C,B,C,C,D,D,D,C,B,Moderate
142,B,B,B,C,B,B,C,B,C,C,D,C,C,C,C,C,C,C,A,D,A,D,C,B,C,C,B,B,D,B,C,B,B,A,B,Moderate
143,C,C,D,B,B,C,C,A,B,C,B,B,C,B,C,B,B,B,A,B,D,B,C,C,C,C,B,D,A,B,B,B,D,D,C,Moderate
144,B,B,D,D,D,A,D,B,C,C,C,C,C,B,B,D,C,A,B,B,B,D,C,D,C,D,C,B,C,B,C,B,B,B,B,Moderate
145,B,C,C,B,B,B,B,C,B,C,D,B,D,C,B,B,B,D,A,C,B,D,D,C,C,C,C,C,C,B,B,C,B,B,D,Moderate
146,D,D,B,C,A,A,D,C,A,B,B,B,B,C,C,C,A,C,A,B,B,B,B,B,B,C,B,C,B,B,B,B,D,C,B,Moderate
147,B,C,B,B,A,B,A,B,B,B,C,C,C,B,D,B,C,C,A,C,A,C,B,B,C,B,B,B,A,B,A,B,C,B,B,Moderate
148,C,B,D,A,A,A,C,B,C,C,C,C,C,B,C,C,A,C,C,B,A,B,B,B,C,B,B,B,C,A,C,B,C,D,B,Moderate
149,A,B,D,C,B,B,B,A,A,C,B,C,B,D,A,B,C,D,C,C,C,B,A,C,C,B,C,B,B,C,D,A,C,B,C,Moderate
150,C,B,B,B,C,C,B,B,C,B,C,C,C,D,B,B,B,A,B,C,A,B,B,B,B,C,C,C,B,C,B,B,B,B,D,Moderate
151,B,D,C,D,B,B,C,C,B,C,C,B,C,C,B,B,C,C,C,C,C,C,D,B,D,B,C,C,C,C,B,C,B,A,C,Moderate
152,A,A,B,C,A,C,A,A,C,B,B,B,B,B,C,D,C,D,C,A,C,B,B,B,C,A,C,D,D,D,A,C,D,D,D,Moderate
153,C,A,A,B,D,C,B,C,B,A,B,B,B,C,C,C,D,D,B,C,C,C,C,A,C,C,C,C,B,A,B,C,C,D,B,Moderate
154,B,B,B,B,B,B,B,D,B,B,C,C,B,B,C,D,C,B,D,C,C,B,B,B,B,B,C,C,A,C,C,A,B,B,B,Moderate
155,B,C,D,C,B,A,C,C,C,C,D,B,C,C,C,A,D,B,D,B,A,B,D,A,D,D,C,B,B,B,D,D,C,A,C,Moderate
156,D,B,B,C,C,D,C,C,D,D,B,C,D,C,D,D,B,C,D,C,B,B,C,D,B,B,D,C,C,D,B,C,B,B,C,High
157,C,B,B,C,D,B,A,C,C,B,D,B,A,C,A,A,B,A,B,C,C,B,C,C,B,C,D,B,D,C,B,B,D,D,A,Moderate
158,B,B,A,C,C,A,B,C,B,B,B,A,C,B,C,D,C,A,A,C,D,C,C,B,B,C,A,B,B,B,B,C,A,B,A,Moderate
159,B,C,B,D,C,D,A,C,B,B,C,C,B,B,B,C,B,D,D,A,B,B,D,C,C,C,D,C,B,D,A,D,B,B,A,Moderate
160,B,B,B,C,D,C,C,B,B,A,C,C,A,B,C,C,C,B,A,C,C,C,C,B,B,C,D,B,B,B,C,C,A,B,B,Moderate
161,B,C,C,A,B,C,B,C,C,D,B,C,B,C,C,C,C,A,A,B,C,D,D,A,A,C,C,B,D,B,C,C,A,A,B,Moderate
162,C,B,B,C,C,B,B,B,B,D,B,D,D,A,A,C,D,B,C,A,B,C,B,B,A,C,B,C,C,C,A,D,B,D,A,Moderate
163,D,D,C,B,B,C,B,B,C,B,A,C,C,B,C,B,C,B,D,B,B,B,B,D,C,C,B,C,B,C,D,C,B,C,B,Moderate
164,D,B,B,B,C,C,A,C,C,C,A,C,B,B,B,B,B,B,C,B,C,C,C,B,C,A,B,B,D,C,C,D,B,B,B,Moderate
165,B,C,C,B,C,C,D,C,B,C,D,B,B,B,C,C,A,C,C,C,C,D,B,D,D,B,B,A,C,B,C,B,B,D,B,Moderate
166,A,D,D,B,B,D,C,A,C,B,D,B,A,D,D,D,B,D,A,B,C,C,D,C,B,B,A,B,B,B,B,D,C,D,A,Moderate
167,B,C,C,B,C,D,D,C,B,B,B,C,B,D,A,D,D,A,C,B,D,B,B,B,D,C,B,A,A,A,C,C,B,B,A,Moderate
168,B,C,C,B,C,B,C,C,A,A,B,C,C,C,D,C,B,C,C,C,C,B,C,A,B,B,C,C,B,B,B,C,C,C,B,Moderate
169,C,B,B,C,B,B,B,C,C,C,C,C,C,B,C,B,C,C,C,C,D,C,C,D,B,C,B,C,C,B,C,C,B,A,B,Moderate
170,B,D,B,B,B,D,B,D,D,C,D,D,B,B,B,A,B,B,C,B,A,D,B,C,A,B,C,B,C,A,D,C,B,C,B,Moderate
171,B,B,C,B,B,C,B,C,B,B,B,B,B,C,D,A,C,B,C,C,B,C,B,C,B,B,D,D,B,D,D,B,A,B,A,Moderate
172,B,B,C,D,C,B,C,B,B,B,B,C,D,C,B,B,C,B,B,A,C,B,B,C,B,D,C,C,C,B,C,B,B,A,B,Moderate
173,D,D,B,C,C,A,C,C,C,B,B,D,D,B,B,C,C,B,B,B,C,B,B,D,D,C,C,B,B,A,C,B,B,C,B,Moderate
174,C,D,B,B,C,C,D,C,B,B,B,B,D,D,C,A,A,D,A,B,C,B,C,B,C,C,D,C,B,C,C,D,C,B,C,Moderate
175,B,A,C,B,C,B,D,B,C,B,B,C,D,B,D,B,B,B,B,C,B,C,C,B,C,B,C,B,C,C,D,D,B,B,B,Moderate
