ID,achievement_satisfaction,irritation,hurry_to_finalize,self_doubt,rumination,emotional_repression,pessimism,disappointment_fretting,work_detachment,indecisiveness,easily_wound_up,loneliness,weather_mood,achievement_dissatisfaction,impatience,smoking,lack_confidence,unclear_thinking,rushed_work,poor_sleep,alcohol,relaxation_difficulty,poor_concentration,lack_exercise,noise_sensitivity,headaches,clammy_hands,criticism_sensitivity,panic_attacks,distrust,stomach_issues,people_pleasing,distractibility,easily_frightened,time_pressure,StressLevel
25,C,B,C,B,D,C,B,D,B,A,D,C,C,B,C,B,C,B,B,B,D,B,C,B,B,C,B,B,B,B,D,C,B,B,B,Moderate
26,B,C,A,B,B,B,D,C,B,C,B,B,D,B,C,D,B,D,D,B,C,A,C,B,A,B,B,D,D,B,B,D,B,B,A,Moderate
27,A,D,B,B,B,B,A,B,C,B,B,C,C,C,A,D,C,C,C,B,B,C,D,B,B,B,B,C,C,C,D,C,A,C,B,Moderate
28,B,A,A,C,C,C,B,B,D,B,B,D,B,C,A,D,C,B,C,D,C,B,C,C,A,B,B,C,C,B,C,B,B,B,A,Moderate
29,B,C,D,B,B,C,D,B,C,C,C,B,C,C,B,D,B,C,C,C,C,D,C,C,C,B,B,C,A,C,C,C,C,D,B,Moderate
30,D,C,B,B,C,C,B,A,A,B,A,B,B,B,C,C,C,D,C,C,B,C,C,C,A,B,A,B,C,B,B,D,C,C,B,Moderate
31,C,C,B,A,C,C,B,D,B,B,C,B,C,C,B,B,D,C,B,A,B,B,C,D,B,C,A,C,A,C,D,A,B,D,C,Moderate
32,C,D,A,B,B,B,D,B,C,B,B,A,A,C,B,B,C,A,D,D,D,B,C,B,B,C,D,B,C,C,D,B,A,C,C,Moderate
33,D,B,B,D,B,B,B,C,D,D,C,D,A,B,C,B,D,C,B,C,D,B,D,B,C,C,A,D,C,D,D,D,B,D,C,Moderate
34,C,C,C,D,B,B,C,C,C,B,D,C,C,C,B,B,C,C,D,C,B,B,C,A,C,D,D,B,C,B,B,B,C,C,C,Moderate
35,A,B,B,A,D,D,C,A,D,B,B,B,D,B,C,A,C,B,C,C,A,C,B,C,C,B,B,B,B,C,A,B,C,D,C,Moderate
36,C,B,B,D,B,B,C,C,D,C,C,C,B,A,D,B,C,B,B,A,B,D,C,D,C,B,B,C,B,A,C,B,B,B,D,Moderate
37,C,C,A,A,C,B,B,B,D,B,B,C,D,B,B,C,C,A,B,D,C,B,A,B,B,C,C,B,D,C,D,D,A,C,C,Moderate
38,C,B,B,B,A,D,C,B,C,A,D,D,B,A,D,C,B,B,A,B,D,C,A,B,A,B,A,C,B,C,A,C,B,B,B,Moderate
39,B,B,C,C,C,D,C,D,D,C,B,C,C,D,B,C,C,A,C,B,C,C,C,B,B,A,D,C,B,A,D,C,C,B,B,Moderate
40,C,C,B,B,C,C,B,B,B,B,B,A,D,D,C,C,A,B,C,C,B,C,C,C,C,B,C,C,C,C,D,D,D,C,D,Moderate
41,C,C,C,C,B,B,D,B,B,B,C,D,B,B,C,B,C,B,C,B,D,C,B,C,C,B,C,B,C,B,C,D,B,B,A,Moderate
42,D,C,B,C,A,B,C,C,B,D,B,D,A,C,C,B,B,B,B,A,C,D,B,A,C,C,B,D,D,A,C,C,A,C,B,Moderate
43,C,C,C,B,A,A,B,B,A,B,A,B,B,C,B,A,D,B,C,C,A,B,C,C,B,C,B,B,C,D,D,B,C,C,C,Moderate
44,B,C,D,C,C,C,C,B,C,D,B,A,C,B,B,C,B,B,C,B,A,B,C,D,D,D,A,B,C,B,C,C,C,C,A,Moderate
45,D,C,C,C,D,B,D,D,B,B,B,A,B,B,A,C,B,A,C,B,B,C,B,D,C,C,A,B,B,B,C,C,B,B,D,Moderate
46,B,B,B,B,C,B,C,C,D,C,B,B,B,B,C,C,B,A,C,D,C,C,B,C,C,C,D,C,C,A,B,C,D,B,B,Moderate
47,B,C,A,C,B,B,B,B,C,B,C,B,B,D,D,B,B,D,D,B,C,B,B,D,C,B,A,B,B,C,C,C,B,A,C,Moderate
48,B,D,D,B,C,D,D,B,C,B,C,C,B,B,A,B,B,B,D,A,B,B,D,D,C,A,B,C,C,D,B,B,B,B,C,Moderate
49,C,B,C,C,B,D,C,C,C,B,C,B,B,A,B,A,B,A,B,B,B,A,C,C,B,A,C,B,B,B,C,C,A,C,D,Moderate
50,C,C,D,B,B,C,B,B,C,B,C,B,C,C,B,B,C,B,A,A,B,C,B,D,C,C,C,B,B,B,B,C,A,C,D,Moderate
51,A,B,C,A,D,C,B,D,A,B,B,A,A,C,C,B,C,D,A,B,D,B,B,C,C,C,D,D,B,A,A,A,C,B,B,Moderate
52,C,C,C,D,B,C,B,C,B,C,C,B,C,B,D,D,B,B,C,C,B,C,B,B,D,A,B,B,B,B,B,B,B,C,C,Moderate
53,B,C,C,B,D,B,C,B,C,C,C,B,B,B,D,A,B,B,B,B,C,B,B,B,B,C,B,C,A,B,B,B,A,C,B,Moderate
54,B,C,B,B,B,C,B,B,C,B,C,B,B,A,A,A,D,C,D,B,D,C,B,C,C,B,C,D,C,B,D,B,B,C,B,Moderate
55,B,A,D,B,C,C,C,D,D,D,C,B,C,C,C,A,B,B,C,B,C,B,C,B,B,A,C,D,D,B,B,C,A,A,C,Moderate
56,B,B,C,D,C,A,C,A,C,D,B,B,C,C,B,D,D,B,B,D,B,C,A,D,B,C,B,B,A,A,D,C,C,B,B,Moderate
57,C,B,B,C,B,C,B,C,B,C,B,A,C,C,B,A,C,C,C,B,A,D,A,C,D,D,B,C,B,D,B,B,C,C,D,Moderate
58,C,B,D,B,C,B,D,C,C,C,C,C,B,C,B,B,C,D,C,B,C,B,C,B,B,C,B,A,B,B,B,B,B,B,C,Moderate
59,A,C,C,C,B,B,A,C,B,C,C,C,A,B,B,B,B,D,B,B,C,D,D,B,C,C,A,C,B,B,B,C,C,B,B,Moderate
60,B,D,C,C,C,B,B,B,B,A,C,C,C,C,C,D,C,C,B,C,C,C,D,C,B,C,B,C,B,A,C,D,B,B,C,Moderate
61,C,C,A,B,B,C,B,B,C,C,C,A,C,C,C,B,D,C,C,B,B,B,B,A,C,C,D,C,B,C,B,C,A,B,B,Moderate
62,C,B,C,C,C,B,B,C,B,D,B,D,B,D,B,B,D,B,A,B,B,C,C,C,D,B,B,C,C,B,D,D,D,B,C,Moderate
63,B,B,B,A,C,C,D,B,C,C,C,B,B,C,C,B,B,D,B,C,C,B,B,B,D,C,C,C,D,C,D,C,D,B,A,Moderate
64,B,C,A,B,C,C,C,C,B,B,B,C,C,C,C,B,B,D,B,B,C,B,C,C,C,B,C,D,B,A,B,C,D,B,B,Moderate
65,C,A,C,A,D,C,D,B,C,C,C,A,B,C,D,C,C,B,C,C,B,A,B,A,B,B,B,D,B,B,B,B,D,B,C,Moderate
66,C,C,B,A,C,B,A,A,C,D,B,C,B,A,B,B,C,C,C,B,B,C,C,B,C,D,D,B,B,C,C,C,C,B,A,Moderate
67,B,B,B,C,B,B,B,B,B,B,D,C,C,A,B,B,B,B,C,B,C,B,A,B,C,D,B,A,A,B,C,C,C,B,C,Moderate
68,B,C,B,B,B,B,C,A,C,B,A,C,B,B,B,B,B,D,C,B,B,B,D,D,B,A,C,C,B,C,B,B,A,C,C,Moderate
69,C,C,D,B,B,B,B,B,B,C,C,C,B,C,C,B,B,B,B,B,C,C,D,D,C,C,B,C,A,B,C,B,D,A,D,Moderate
70,C,B,C,C,C,B,C,C,D,D,C,B,B,B,B,B,C,D,C,B,C,B,B,B,B,A,B,C,A,C,C,B,D,D,C,Moderate
71,B,B,C,B,C,B,B,A,C,B,D,C,C,B,D,C,A,B,C,B,B,C,B,D,C,B,A,C,D,D,B,D,B,B,C,Moderate
72,C,B,A,C,B,B,B,C,C,C,B,B,C,C,C,B,B,B,A,B,B,B,B,D,C,B,C,C,A,D,B,B,D,C,B,Moderate
73,B,D,C,C,B,A,B,B,C,B,C,A,C,B,C,C,B,C,B,B,B,B,C,B,B,B,C,B,D,D,D,B,B,B,D,Moderate
74,C,A,B,B,B,D,C,C,C,A,C,D,D,B,B,B,B,B,B,C,B,A,B,B,D,C,D,C,B,B,D,C,C,C,C,Moderate
75,B,C,B,B,C,D,B,B,A,C,B,C,B,C,C,A,B,B,B,A,B,B,C,C,B,B,D,B,B,C,D,C,D,C,B,Moderate
76,B,B,D,A,B,B,A,D,B,B,D,D,B,C,C,C,C,D,C,B,A,C,B,C,B,B,C,B,B,A,D,A,C,B,B,Moderate
77,A,B,D,B,B,B,C,D,B,C,C,B,D,B,D,C,B,C,C,C,B,C,C,A,C,D,A,A,A,C,D,B,B,B,A,Moderate
78,B,A,B,C,D,B,C,B,D,B,B,D,C,B,C,C,B,B,D,B,D,D,B,B,B,D,B,A,D,B,C,B,B,C,B,Moderate
79,A,C,C,A,D,B,D,C,C,B,C,B,C,B,C,C,B,B,B,C,C,C,B,C,C,C,B,D,B,C,D,A,B,B,A,Moderate
80,A,C,B,C,B,C,C,D,B,B,D,B,B,B,B,B,D,D,B,D,B,B,A,C,B,D,B,C,A,C,B,C,B,C,C,Moderate
81,D,C,B,D,C,A,D,B,B,D,C,B,B,A,B,B,C,B,B,A,B,B,B,B,C,B,C,D,C,A,D,A,B,A,D,Moderate
82,B,A,C,A,B,C,D,C,B,B,B,B,B,B,D,C,A,B,B,C,C,B,A,A,C,B,B,B,B,B,B,D,C,B,C,Moderate
83,A,C,C,B,B,B,C,A,D,D,B,B,B,C,B,C,D,A,C,C,D,B,B,D,B,D,C,C,A,B,B,C,C,B,A,Moderate
84,D,B,B,B,C,C,C,C,D,B,C,C,B,C,C,C,C,B,B,C,B,B,C,C,C,D,C,C,C,B,B,B,A,B,C,Moderate
85,C,B,D,B,B,C,B,C,B,D,B,B,C,A,B,A,C,C,C,B,D,C,B,B,B,B,C,B,C,D,C,B,C,C,C,Moderate
86,C,C,C,D,D,C,D,C,B,B,C,D,C,C,B,C,B,B,C,C,D,C,B,B,B,C,C,C,A,B,D,B,B,D,D,Moderate
87,B,B,D,C,B,C,D,B,B,A,C,B,C,D,C,B,D,A,B,D,B,A,A,A,C,B,C,C,B,B,D,C,D,C,B,Moderate
88,A,D,A,A,C,B,C,B,B,B,C,B,B,C,B,B,B,C,C,C,B,B,C,D,A,B,C,B,A,D,D,D,C,B,C,Moderate
89,C,C,D,C,C,D,C,C,A,B,B,B,C,B,C,C,C,B,B,B,C,A,B,B,A,C,B,A,B,C,B,B,C,A,C,Moderate
90,B,C,C,C,B,C,A,C,C,A,B,B,D,D,C,B,A,B,D,B,B,D,C,C,B,D,C,C,B,C,C,D,C,C,C,Moderate
91,D,D,B,B,C,C,B,B,D,C,C,A,C,D,B,B,C,B,C,B,C,C,A,C,C,B,B,C,B,B,D,B,B,B,C,Moderate
92,A,B,A,B,C,C,C,C,B,C,B,C,B,C,C,B,B,C,A,D,D,C,B,D,D,C,C,C,C,D,C,B,B,B,C,Moderate
93,C,B,C,C,A,C,B,B,A,D,C,C,A,D,B,B,B,C,D,C,C,D,C,B,B,C,C,C,D,B,C,B,C,B,C,Moderate
94,A,C,B,C,B,C,D,B,C,C,C,B,C,C,B,C,D,C,C,A,A,B,B,B,C,B,C,B,B,D,C,D,C,C,B,Moderate
95,A,C,C,B,C,C,B,B,C,B,D,B,B,A,A,C,B,C,B,C,D,C,A,B,C,C,B,A,A,B,C,C,C,C,D,Moderate
96,C,C,C,B,C,C,B,B,B,B,C,C,C,A,C,B,B,B,B,B,C,B,C,D,B,C,C,B,C,B,C,B,B,B,A,Moderate
97,C,B,D,C,C,D,B,B,C,C,B,D,D,A,D,A,A,C,C,D,B,C,B,A,C,A,B,B,C,B,D,B,B,B,B,Moderate
98,C,B,B,D,B,C,B,B,C,D,C,B,B,D,B,C,B,A,C,B,B,C,B,B,B,C,C,B,C,D,C,B,D,B,B,Moderate
99,C,D,C,B,D,B,B,B,B,C,C,B,B,D,C,B,B,B,B,C,B,B,D,C,B,D,B,C,C,C,B,C,D,D,C,Moderate
100,D,C,D,C,B,C,B,C,D,C,C,B,D,D,C,D,B,B,C,C,D,C,B,C,D,B,C,C,B,B,B,B,B,C,C,Moderate
