ID,achievement_satisfaction,irritation,hurry_to_finalize,self_doubt,rumination,emotional_repression,pessimism,disappointment_fretting,work_detachment,indecisiveness,easily_wound_up,loneliness,weather_mood,achievement_dissatisfaction,impatience,smoking,lack_confidence,unclear_thinking,rushed_work,poor_sleep,alcohol,relaxation_difficulty,poor_concentration,lack_exercise,noise_sensitivity,headaches,clammy_hands,criticism_sensitivity,panic_attacks,distrust,stomach_issues,people_pleasing,distractibility,easily_frightened,time_pressure,StressLevel
56,D,D,B,A,C,C,D,C,A,A,B,B,A,B,B,D,B,B,C,C,A,B,C,D,A,C,C,A,A,A,D,C,B,A,C,Moderate
57,C,C,C,A,C,C,C,B,A,C,A,A,D,A,B,A,B,A,A,C,B,A,A,C,D,A,B,C,A,C,D,A,A,C,A,Moderate
58,D,D,B,B,B,B,B,C,B,B,C,B,B,B,B,A,B,D,B,B,A,A,C,B,A,A,B,B,C,C,B,C,A,B,B,Moderate
59,A,D,D,D,C,B,A,C,A,C,C,B,D,D,D,C,C,B,B,B,B,B,C,C,D,B,B,B,B,B,C,B,B,D,D,High
60,A,C,B,C,B,B,A,C,B,C,C,B,B,D,B,B,C,B,D,A,C,B,D,A,B,B,B,B,A,B,C,D,A,C,A,Moderate
61,B,B,A,A,D,C,A,C,A,A,B,B,C,C,C,B,B,C,C,A,B,B,C,D,D,C,A,B,A,C,B,D,C,D,A,Moderate
62,B,A,D,C,B,B,C,B,C,D,D,C,D,C,B,C,B,C,B,A,D,C,D,A,A,A,A,D,C,D,A,A,A,C,D,High
63,B,D,B,B,B,A,B,A,B,A,B,B,B,D,C,B,B,A,B,C,B,D,C,A,C,B,C,B,C,B,A,D,C,B,D,Moderate
64,A,D,B,B,B,D,C,D,D,B,C,C,C,C,A,A,B,B,D,A,A,D,B,C,A,B,D,B,B,B,A,A,B,A,D,Moderate
65,C,B,B,D,B,C,A,B,C,A,B,D,A,A,C,C,A,B,A,A,C,B,B,D,C,B,B,C,A,B,C,A,A,B,D,Moderate
66,A,C,C,B,B,C,B,A,B,A,A,C,D,A,C,A,D,C,A,C,B,D,B,C,C,A,B,C,D,B,A,C,C,A,C,Moderate
67,C,B,C,A,A,A,A,D,A,B,C,D,B,C,D,A,B,A,B,B,B,A,B,B,C,A,B,C,C,C,B,D,A,A,C,Moderate
68,A,C,C,B,C,D,A,C,B,D,B,B,A,B,C,D,A,C,A,C,C,A,D,C,B,C,C,A,B,B,C,A,C,B,C,Moderate
69,C,B,A,B,C,B,B,B,B,C,B,B,C,D,D,D,C,B,B,A,B,B,A,B,C,A,C,B,C,A,B,B,C,A,B,Moderate
70,C,A,A,B,C,D,C,B,D,B,B,A,C,A,C,C,A,C,C,B,C,B,C,B,C,C,A,B,C,A,C,C,A,A,B,Moderate
71,B,B,D,C,B,B,A,A,B,D,C,A,B,D,C,A,B,D,D,B,C,C,C,D,C,B,A,A,A,A,D,B,B,B,C,Moderate
72,C,B,B,D,C,A,A,B,C,A,A,A,B,A,A,B,D,C,A,C,B,A,B,C,C,C,B,B,A,A,A,B,A,C,A,Low
73,C,D,A,B,C,A,A,B,C,C,A,C,C,C,D,B,A,A,B,A,C,A,B,C,B,C,D,A,C,C,D,C,A,C,A,Moderate
74,A,B,B,C,A,C,B,B,B,C,A,B,B,D,B,A,A,D,B,C,B,A,C,A,C,C,B,A,C,A,C,C,C,B,A,Moderate
75,C,A,B,B,D,B,A,A,C,C,A,B,B,A,A,A,B,A,B,C,A,B,A,C,C,C,A,B,A,A,C,A,A,B,A,Low
76,A,A,C,B,B,B,B,D,A,A,A,C,B,C,B,D,A,C,C,D,A,B,C,A,B,C,D,C,B,B,B,D,A,A,A,Moderate
77,C,A,B,A,B,B,A,B,D,C,B,D,A,C,B,A,C,B,C,B,A,A,A,D,C,D,A,D,D,C,B,A,A,C,D,Moderate
78,B,B,B,D,A,C,B,B,B,B,A,C,B,A,C,A,B,A,D,C,A,C,A,A,B,B,B,C,B,A,B,B,B,C,A,Moderate
79,C,A,B,C,A,C,D,D,B,B,B,C,D,D,C,B,A,A,C,D,B,D,A,A,C,A,A,C,D,B,D,B,C,C,B,High
80,D,B,C,B,C,B,C,D,A,B,A,D,C,A,B,B,C,B,A,A,C,B,A,B,B,C,B,D,A,B,C,B,C,A,B,Moderate
81,A,A,C,B,B,C,A,B,B,D,B,A,A,C,D,A,D,D,B,A,A,D,A,B,B,B,A,A,A,B,D,B,A,C,C,Moderate
82,B,B,A,A,C,B,A,D,A,B,B,B,C,C,C,A,D,B,A,B,B,C,B,B,B,B,A,B,D,A,C,B,B,B,B,Moderate
83,A,B,C,B,B,B,D,A,B,B,B,D,B,C,A,B,A,A,D,A,D,D,B,C,A,C,C,D,B,B,B,B,B,B,A,Moderate
84,D,A,D,B,C,A,D,B,C,B,D,C,C,B,B,B,B,A,A,A,A,D,A,C,B,B,B,A,B,D,B,B,B,A,B,Moderate
85,A,B,D,D,A,C,B,B,C,B,B,B,B,D,C,D,B,B,D,A,B,D,D,D,A,A,B,D,D,A,A,D,C,A,D,High
86,C,C,C,A,B,B,D,D,C,B,A,C,C,B,C,A,A,C,D,C,C,D,B,B,D,A,A,B,D,B,C,C,C,C,B,High
87,C,B,B,C,C,B,A,A,B,B,B,D,A,A,B,A,C,B,B,C,A,B,D,D,A,C,B,B,C,B,C,B,B,A,B,Moderate
88,B,C,C,C,B,D,D,C,A,D,C,B,A,A,C,C,D,C,C,D,D,C,C,D,C,A,B,D,C,B,D,A,A,B,B,High
89,B,C,C,D,A,B,B,B,B,C,A,B,C,D,B,D,A,B,B,C,D,A,C,B,B,A,C,A,C,B,A,B,D,D,B,Moderate
90,D,D,C,D,A,B,C,C,D,A,A,B,C,B,A,B,B,B,D,A,D,C,D,A,D,B,A,A,A,B,B,C,B,B,C,Moderate
91,A,D,D,C,B,D,C,B,D,D,B,A,D,B,B,B,C,B,B,B,C,A,D,C,C,A,B,D,B,D,B,B,B,D,A,High
92,C,C,B,B,C,C,C,B,B,B,B,A,D,B,B,C,B,C,B,A,A,D,D,A,B,B,A,B,D,A,B,C,B,C,A,Moderate
93,B,C,B,B,C,B,D,D,B,C,C,B,A,C,B,A,A,B,B,B,A,A,A,B,A,C,D,B,B,B,B,B,B,D,B,Moderate
94,B,B,D,A,B,B,D,A,A,C,C,B,C,A,A,C,D,C,A,B,D,B,A,B,A,D,A,A,A,B,A,C,C,B,D,Moderate
95,A,A,C,B,B,B,A,A,D,D,A,A,D,D,C,D,B,C,A,D,B,D,C,B,C,D,B,C,B,D,A,C,C,A,A,High
96,A,B,A,C,B,B,B,C,A,B,A,C,C,C,B,D,B,D,D,D,D,C,B,C,C,D,A,D,D,B,C,C,C,B,C,High
97,C,C,A,A,B,B,D,B,A,D,A,B,B,A,C,A,B,B,B,B,B,B,B,B,A,A,A,B,B,B,A,A,A,A,C,Low
98,A,B,C,B,A,A,D,B,C,A,C,D,A,B,D,B,C,A,C,A,B,B,C,B,B,C,C,C,D,B,D,B,A,C,C,Moderate
99,D,A,C,D,A,A,A,A,C,D,A,D,B,C,A,D,B,C,D,C,B,D,B,B,B,A,A,A,D,A,B,B,C,D,A,Moderate
100,C,A,B,A,C,C,A,C,D,B,C,A,B,C,A,C,B,A,C,B,C,C,A,B,D,B,A,B,C,A,B,B,C,C,A,Moderate
101,C,D,B,A,C,A,B,D,C,C,B,B,B,D,A,B,C,B,B,B,B,B,B,B,B,B,B,C,C,B,B,D,A,A,B,Moderate
102,A,B,B,B,C,C,D,B,C,A,A,C,C,C,A,C,A,D,B,B,B,C,A,A,C,B,A,B,B,B,A,B,D,D,D,Moderate
103,C,A,A,D,A,B,A,D,C,C,A,A,A,B,A,B,C,C,A,C,C,C,B,B,D,C,A,B,C,B,B,A,D,C,B,Moderate
104,D,A,A,D,C,D,A,C,B,D,B,A,A,B,C,A,C,C,B,B,C,B,C,B,D,C,A,B,C,A,B,B,D,B,A,Moderate
105,A,A,B,D,B,A,B,B,D,C,B,A,A,D,B,B,B,C,C,C,C,C,B,A,D,A,C,B,D,A,A,C,B,A,B,Moderate
106,B,B,B,B,B,B,D,A,A,C,B,C,A,C,B,D,B,C,C,B,B,C,B,A,A,C,D,C,B,A,D,A,B,C,B,Moderate
107,C,B,B,B,D,B,B,A,C,B,B,C,D,C,B,B,B,C,B,B,D,A,C,B,B,B,A,C,D,D,B,B,B,C,D,High
108,B,A,D,C,B,B,D,C,A,C,B,A,B,D,C,A,C,B,D,D,B,A,C,D,D,D,B,B,A,A,B,B,B,B,C,High
109,B,A,B,B,C,A,B,C,C,C,C,C,B,B,A,B,B,A,B,B,C,B,C,A,A,B,C,A,A,B,B,A,D,C,C,Moderate
110,A,C,B,C,A,A,A,C,D,D,A,B,D,C,D,C,A,D,C,C,A,C,A,C,C,A,A,C,C,D,D,C,A,B,C,High
111,B,B,C,D,C,B,A,A,B,B,A,C,A,D,A,C,C,A,B,B,B,D,D,C,A,D,B,B,A,A,A,A,C,A,B,Moderate
112,B,A,B,B,C,A,A,A,B,C,C,A,A,B,C,A,C,D,C,B,D,D,C,B,B,B,A,A,A,A,B,C,B,C,A,Moderate
113,B,B,B,B,C,B,A,A,A,C,B,B,B,A,A,D,B,A,B,C,B,D,D,B,A,B,B,B,B,B,A,A,B,A,A,Low
114,B,B,A,C,D,C,A,C,B,A,A,B,C,B,A,A,A,C,D,B,B,A,C,C,A,B,B,B,A,C,B,B,B,B,B,Moderate
115,D,D,D,A,A,D,A,B,C,C,A,C,B,D,B,B,C,B,A,D,D,B,A,B,A,D,B,A,A,B,C,A,A,B,C,Moderate
116,C,B,C,C,A,B,C,B,B,C,A,D,B,D,B,B,D,C,A,C,B,A,A,B,C,C,A,A,B,C,B,D,A,A,B,Moderate
117,B,C,C,B,B,A,B,C,C,A,A,C,B,B,B,A,B,A,A,B,A,B,C,B,C,C,A,D,C,B,C,C,B,B,C,Moderate
118,A,B,C,C,B,B,A,A,D,D,A,C,B,B,B,C,C,B,B,B,B,A,C,B,C,D,B,D,C,D,C,A,C,B,C,High
119,C,A,C,B,A,C,B,C,A,C,B,A,B,B,A,D,B,D,B,A,A,D,B,C,A,C,B,C,C,B,C,C,C,B,C,Moderate
120,B,C,D,A,C,B,B,D,D,A,B,B,A,A,C,B,B,D,D,B,B,B,B,C,B,A,C,C,C,C,C,A,A,A,B,Moderate
121,B,C,B,B,B,A,B,B,B,C,D,C,B,B,B,C,B,B,B,B,C,B,B,C,A,B,B,A,D,B,C,C,A,A,B,Moderate
122,B,C,D,C,D,A,C,A,C,D,A,D,B,C,D,C,C,B,B,A,B,A,B,D,A,A,C,A,C,A,B,B,B,C,C,Moderate
123,A,C,A,C,A,B,B,B,A,A,A,B,B,A,A,C,A,A,A,A,C,B,A,C,A,B,C,A,C,B,C,B,A,B,B,Low
124,B,B,D,B,C,B,A,A,B,C,C,C,C,B,A,A,C,C,C,A,B,A,B,A,A,A,D,A,B,B,A,D,D,D,A,Moderate
125,B,B,B,A,C,C,A,C,A,C,D,C,C,A,D,B,A,B,C,D,C,B,A,B,C,A,C,B,B,D,A,A,D,B,D,Moderate
126,D,B,B,A,C,B,B,C,C,B,B,C,C,B,C,A,D,B,B,D,C,D,B,A,C,D,C,C,A,C,D,A,B,B,C,High
127,B,D,A,A,B,D,D,A,C,B,B,A,C,A,D,A,C,C,C,D,D,C,B,A,D,B,B,B,A,B,C,B,D,B,C,High
128,A,D,B,B,B,C,A,A,C,A,A,D,B,B,C,B,B,C,A,A,C,D,B,A,B,C,B,C,B,C,A,B,B,B,A,Moderate
129,B,C,A,A,A,A,B,A,D,C,C,C,B,D,B,B,A,A,B,B,C,A,A,D,D,D,C,C,A,B,B,A,D,C,B,Moderate
130,A,D,B,C,B,B,B,A,B,B,B,A,D,D,B,B,C,B,D,A,A,D,B,A,D,B,A,D,A,B,B,B,D,B,A,Moderate
131,C,B,C,B,C,A,C,D,B,B,D,B,A,B,D,A,B,B,B,C,A,C,B,A,D,B,D,A,B,C,B,C,B,D,C,High
132,B,C,C,D,C,A,C,B,B,B,D,A,A,A,D,B,B,D,A,D,C,B,C,B,B,D,A,C,B,D,B,C,C,D,C,High
133,B,B,A,D,B,A,C,C,B,C,C,B,B,B,B,C,D,D,A,B,B,D,C,D,C,B,A,C,B,B,B,D,B,B,C,High
134,D,C,B,C,D,B,B,A,A,A,B,D,C,A,B,B,B,A,B,B,D,C,B,D,C,B,B,B,C,B,B,C,D,A,B,Moderate
135,B,C,B,A,A,D,C,B,B,C,C,B,C,B,C,D,C,B,B,A,A,B,B,A,B,C,B,B,C,C,B,B,B,C,D,Moderate
136,C,C,A,D,C,C,A,B,A,B,C,C,A,B,C,B,C,C,B,C,D,A,B,C,C,A,A,B,B,B,C,A,C,A,B,Moderate
137,B,C,B,A,D,D,A,B,A,C,C,C,A,A,B,D,B,C,B,B,A,D,D,C,B,C,A,A,A,D,B,B,C,B,B,Moderate
138,C,A,D,B,D,B,B,D,B,A,C,A,B,B,C,A,B,D,D,B,D,C,B,B,B,B,A,B,A,A,A,B,D,C,B,Moderate
139,C,A,B,C,C,D,C,B,C,A,C,C,A,D,C,A,B,B,A,B,B,C,B,B,A,B,C,B,C,D,B,C,B,A,A,Moderate
140,A,D,B,C,A,A,C,A,D,C,D,C,C,B,D,C,A,A,B,C,A,D,D,C,D,B,D,B,B,A,C,B,B,B,C,High
141,B,A,C,C,B,A,A,C,B,C,D,B,A,D,C,A,B,B,B,C,B,B,B,C,B,B,D,D,B,B,B,A,A,D,D,Moderate
142,C,B,D,C,B,A,C,C,A,C,B,A,B,C,A,A,A,B,A,A,C,A,C,B,B,B,A,C,C,B,B,C,A,C,B,Moderate
143,B,C,A,D,A,A,B,C,D,A,B,B,C,C,B,C,D,B,A,B,B,D,C,D,B,A,B,A,C,D,B,C,C,A,B,Moderate
144,A,C,C,B,A,B,A,A,A,A,C,A,C,B,B,B,D,A,D,B,C,D,A,D,C,A,A,C,B,A,B,D,B,B,B,Moderate
145,D,C,D,B,C,C,C,B,A,B,B,C,D,B,A,C,D,A,B,B,B,B,A,C,B,C,B,C,C,C,A,B,B,A,D,High
146,A,A,D,D,A,C,A,B,A,B,B,A,B,C,A,A,B,A,B,B,D,C,C,B,A,D,B,C,B,A,B,A,B,B,A,Moderate
147,C,B,A,C,C,A,A,A,A,B,B,C,C,C,B,A,D,B,B,A,C,A,B,D,C,A,B,B,A,D,A,B,D,B,A,Moderate
148,A,D,A,B,B,B,D,A,D,B,B,A,C,D,A,B,D,B,B,B,B,A,A,B,B,D,B,A,A,B,C,A,C,A,C,Moderate
149,A,B,A,D,A,D,B,D,B,C,C,B,C,B,C,D,C,A,B,A,B,B,B,B,D,B,B,A,D,C,C,C,C,B,B,High
150,D,C,B,B,C,B,C,B,D,B,B,B,A,C,D,D,C,A,C,C,B,B,C,D,C,B,B,D,B,A,C,C,A,A,A,High
151,D,B,B,B,A,D,A,B,B,C,C,D,A,A,A,C,D,A,B,A,C,C,B,B,B,C,B,C,D,B,A,A,B,B,B,Moderate
152,D,C,B,B,D,A,B,A,C,B,B,B,B,A,C,C,B,D,D,D,C,C,B,D,B,C,C,B,A,C,A,C,A,C,A,High
153,C,C,C,A,A,A,C,A,A,A,D,C,C,B,B,D,D,D,A,B,B,B,A,B,B,B,C,B,A,B,A,C,B,C,C,Moderate
154,C,C,C,D,B,A,D,D,A,B,B,A,D,B,C,C,A,D,B,B,A,A,D,C,D,D,C,D,C,B,A,A,A,C,B,High
155,B,D,D,D,B,A,B,C,B,C,C,B,A,A,B,A,D,D,C,A,A,B,B,B,A,C,D,B,D,C,A,A,D,C,A,Moderate
156,C,A,B,B,C,A,B,C,B,C,A,D,B,B,C,B,C,A,A,C,B,B,A,A,C,B,A,D,A,A,A,B,B,C,D,Moderate
157,B,B,A,B,B,B,B,A,C,A,A,A,B,B,A,C,A,A,B,B,C,B,B,A,A,B,C,B,A,B,B,C,A,A,B,Low
158,D,C,C,B,C,A,C,C,D,B,C,C,C,C,D,C,B,A,D,C,A,D,C,C,C,A,B,B,B,C,A,B,B,C,C,High
159,A,C,C,C,A,D,C,D,A,C,C,C,A,D,B,B,C,A,B,A,C,A,C,D,D,A,C,D,A,A,C,C,A,A,C,Moderate
160,A,D,D,C,C,C,B,D,A,D,C,A,B,C,B,B,D,B,A,B,B,C,B,D,C,B,A,B,C,A,C,A,D,D,B,High
161,D,B,A,A,B,B,D,A,D,B,A,B,B,A,D,B,C,D,C,A,A,C,A,C,A,D,D,B,B,A,A,B,A,B,A,Moderate
162,D,D,B,C,A,C,A,C,D,B,B,B,B,C,C,D,A,A,C,A,C,B,B,B,D,A,B,B,C,A,B,D,C,D,C,High
163,B,C,A,A,B,C,B,C,C,A,D,A,A,B,C,A,A,B,B,A,C,C,B,B,B,C,A,C,D,B,C,B,D,A,B,Moderate
164,B,C,D,D,B,D,B,B,B,C,A,A,C,C,C,C,B,C,A,C,B,D,D,D,C,C,B,B,C,D,D,D,C,D,A,High
165,C,B,B,C,A,A,D,A,A,B,D,B,B,B,A,A,B,A,A,A,A,B,A,C,B,B,D,D,A,A,A,D,A,D,B,Moderate
166,A,C,B,D,A,D,B,C,B,B,B,D,C,B,B,A,B,D,D,A,A,D,C,C,C,D,A,D,C,A,C,B,B,C,B,High
167,C,B,C,A,B,B,C,B,B,B,A,B,D,B,A,B,D,B,D,A,A,D,A,C,A,C,A,B,C,D,D,A,D,C,B,Moderate
168,A,B,C,C,C,B,A,A,B,B,C,A,B,D,B,D,D,B,B,A,D,B,A,D,C,A,B,B,B,B,C,D,C,C,A,Moderate
169,B,B,B,C,C,B,A,C,D,B,A,C,B,A,A,D,C,B,A,D,B,A,B,B,C,A,B,C,C,C,D,D,A,B,C,Moderate
170,D,D,C,D,D,C,D,C,B,A,B,B,A,B,D,A,A,A,A,A,C,D,B,C,D,B,D,A,A,C,B,B,B,B,B,High
171,C,D,C,B,A,B,A,C,C,D,B,A,D,C,C,B,A,B,B,B,D,A,D,B,A,C,B,C,C,C,B,B,B,D,B,High
172,C,A,B,D,C,C,D,C,C,C,A,B,C,D,C,B,B,D,B,A,B,D,C,A,C,B,A,A,B,C,A,A,B,C,C,High
173,C,C,D,D,B,A,D,B,B,C,B,C,B,B,D,B,B,C,C,D,C,A,C,D,D,B,A,C,C,A,C,A,A,D,D,High
174,B,B,C,B,D,A,A,D,D,A,C,B,B,A,D,A,B,A,D,C,C,D,B,A,B,C,C,C,D,A,D,D,B,B,B,High
175,D,C,A,C,A,B,B,B,A,C,D,B,C,A,B,D,A,C,C,D,A,B,D,B,A,B,C,B,B,B,B,D,B,D,A,Moderate
176,B,D,C,B,D,B,A,B,A,C,B,C,B,D,C,A,A,C,C,B,C,B,B,C,A,A,A,B,A,C,A,B,C,B,A,Moderate
177,C,B,D,B,C,B,C,B,C,C,B,A,A,B,D,A,C,B,A,D,A,A,A,B,C,C,B,C,A,C,D,C,C,D,C,High
